f_code,atoll,island_name,longitude,latitude,area_ha,area_sqm,category,sector,usage
LD0002,4,Maavelavaru,"73° 10' 17.008"" E","5° 48' 20.517"" N",47.063446,470634.46,1,1,Resort
LD0003,18,Keraminthaa,"73° 0' 45.217"" E","0° 23' 27.856"" N",38.924603,389246.03,2,, 
LD0004,9,Maalhos,"72° 43' 9.216"" E","3° 59' 11.059"" N",32.453251,324532.51,3,, 
LD0005,15,,"73° 0' 49.575"" E","2° 10' 11.943"" N",0.671358,6713.58,2,, 
LD0006,18,Dhigelaabadhuvaa,"73° 9' 31.593"" E","0° 12' 48.471"" N",35.852393,358523.93,3,, 
LD0007,8,Thulusdhoo Irumathee Huraagan'du,"73° 39' 16.794"" E","4° 22' 18.068"" N",1.022881,10228.81,2,, 
LD0008,13,Feeali,"73° 0' 6.282"" E","3° 16' 11.887"" N",17.678783,176787.83,3,, 
LD0009,10,Omadhoo,"72° 57' 43.434"" E","3° 47' 29.825"" N",22.822959,228229.59,3,, 
LD0010,18,Farehulhehdhoo,"73° 29' 50.148"" E","0° 19' 42.144"" N",14.481167,144811.67,2,,Varuva
LD0012,14,Vommuli,"72° 51' 57.865"" E","2° 54' 40.790"" N",8.950373,89503.73,1,1,Resort
LD0013,13,Adhangau,"73° 0' 29.869"" E","3° 8' 19.293"" N",1.425317,14253.17,2,, 
LD0014,1,Kudafinolhu,"72° 53' 4.416"" E","6° 59' 20.487"" N",4.41564,44156.4,2,, 
LD0015,7,Lhohi,"73° 28' 22.205"" E","5° 19' 17.664"" N",10.719078,107190.78,4,Agriculture,, 
LD0016,3,Maaun'goodhoo,"73° 17' 1.655"" E","6° 2' 12.140"" N",29.4141,294141,3,, 
LD0017,2,Veligan'du,"72° 56' 17.660"" E","6° 45' 15.333"" N",0.286867,2868.67,2,, 
LD0018,5,Kurehdhoo,"72° 53' 40.422"" E","5° 38' 25.744"" N",3.531039,35310.39,2,, 
LD0019,14,Vaanee,"73° 0' 9.991"" E","2° 43' 31.691"" N",11.011173,110111.73,2,, 
LD0020,7,Naifaru,"73° 21' 55.091"" E","5° 26' 41.434"" N",58.292494,582924.94,3,, 
LD0021,10,Ariyadhoo,"72° 51' 18.320"" E","3° 28' 30.606"" N",27.723512,277235.12,4,Agriculture,Agriculture
LD0022,6,Kanufushi,"72° 57' 11.895"" E","5° 0' 42.135"" N",12.101343,121013.43,1,1,Resort
LD0023,18,Hulhuvaarulaa,"73° 29' 12.586"" E","0° 19' 36.929"" N",26.698648,266986.48,2,, 
LD0024,17,Maamutaa,"73° 24' 27.019"" E","0° 50' 47.142"" N",20.88964,208896.4,1,1,Resort
LD0025,5,Kudalhosgiri,"72° 54' 50.206"" E","5° 36' 7.836"" N",1.007703,10077.03,2,, 
LD0026,8,Boduban'dos,"73° 29' 29.260"" E","4° 16' 9.866"" N",19.943726,199437.26,1,1,Resort
LD0027,9,Kan'dholhudhoo,"72° 52' 54.427"" E","4° 0' 9.368"" N",2.991456,29914.56,1,1,Resort
LD0028,17,Keredhdhoo,"73° 26' 17.733"" E","0° 39' 33.634"" N",13.168785,131687.85,1,1,Resort
LD0029,15,Lhavaddoo,"73° 17' 28.362"" E","2° 18' 20.770"" N",3.177465,31774.65,2,1,, 
LD0030,13,,"72° 53' 24.977"" E","3° 3' 43.014"" N",0.578235,5782.35,3,, 
